Admin1,Admin1Pcode,Admin2,Admin2Pcode,Admin3,Admin3Pcode,Admin3PcodeReview,CasSuspect,DecesSuspect,CasConfirmes,DecesConfirmes,Contacts
Kinshasa,CD10,Kinshasa,CD1000,Bumbu,CD1000ZS06,CD100006,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Gombe,CD1000ZS07,CD100007,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kalamu I,CD1000ZS08,CD100008,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kalamu II,CD1000ZS09,CD100009,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kikimi,CD1000ZS11,CD100011,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kimbanseke,CD1000ZS12,CD100012,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kingasani,CD1000ZS14,CD100014,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kinshasa,CD1000ZS15,CD100015,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Kintambo,CD1000ZS16,CD100016,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Lemba,CD1000ZS19,CD100019,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Limete,CD1000ZS20,CD100020,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Lingwala,CD1000ZS21,CD100021,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Makala,CD1000ZS22,CD100022,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Maluku I,CD1000ZS23,CD100023,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Maluku II,CD1000ZS24,CD100024,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Masina I,CD1000ZS25,CD100025,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Masina II,CD1000ZS26,CD100026,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Matete,CD1000ZS27,CD100027,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Mont Ngafula I,CD1000ZS28,CD100028,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Mont Ngafula II,CD1000ZS29,CD100029,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Ndjili,CD1000ZS30,CD100030,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Ngaba,CD1000ZS31,CD100031,0,0,0,0,
Kinshasa,CD10,Kinshasa,CD1000,Ngiri-Ngiri,CD1000ZS32,CD100032,0,0,0,0,
